iteration,lasso_loss,ridge_loss,standard_loss
1.170000000000000000e+02,5.658777720131323852e-01,6.179954896604663572e-01,6.179640042251142162e-01
1.180000000000000000e+02,5.658777720129912758e-01,6.177357171075366082e-01,6.177040443185169982e-01
1.190000000000000000e+02,5.658777720128717048e-01,6.174780027425428308e-01,6.174461440118584887e-01
1.200000000000000000e+02,5.658777720127703414e-01,6.172223124925590998e-01,6.171902692065013296e-01
1.210000000000000000e+02,5.658777720126842992e-01,6.169686131776718208e-01,6.169363866971276922e-01
1.220000000000000000e+02,5.658777720126112465e-01,6.167168724828728799e-01,6.166844641436358687e-01
1.230000000000000000e+02,5.658777720125494071e-01,6.164670589309317883e-01,6.164344700440143043e-01
1.240000000000000000e+02,5.658777720124966715e-01,6.162191418562101841e-01,6.161863737081578751e-01
1.250000000000000000e+02,5.658777720124520405e-01,6.159730913793829421e-01,6.159401452325904414e-01
1.260000000000000000e+02,5.658777720124138488e-01,6.157288783830322521e-01,6.156957554760600360e-01
1.270000000000000000e+02,5.658777720123812083e-01,6.154864744880809146e-01,6.154531760359733816e-01
1.280000000000000000e+02,5.658777720123536747e-01,6.152458520310347678e-01,6.152123792256376511e-01
1.290000000000000000e+02,5.658777720123300270e-01,6.150069840420029355e-01,6.149733380522818260e-01
1.300000000000000000e+02,5.658777720123099320e-01,6.147698442234674765e-01,6.147360261958257910e-01
1.310000000000000000e+02,5.658777720122927235e-01,6.145344069297747902e-01,6.145004179883711837e-01
1.320000000000000000e+02,5.658777720122780686e-01,6.143006471473223540e-01,6.142664883943876886e-01
1.330000000000000000e+02,5.658777720122655230e-01,6.140685404754133714e-01,6.140342129915664637e-01
1.340000000000000000e+02,5.658777720122547539e-01,6.138380631077581251e-01,6.138035679523206056e-01
1.350000000000000000e+02,5.658777720122455390e-01,6.136091918145941682e-01,6.135745300259044521e-01
1.360000000000000000e+02,5.658777720122377675e-01,6.133819039254075900e-01,6.133470765211317399e-01
1.370000000000000000e+02,5.658777720122308841e-01,6.131561773122276016e-01,6.131211852896708558e-01
1.380000000000000000e+02,5.658777720122251109e-01,6.129319903734801178e-01,6.128968347098946445e-01
1.390000000000000000e+02,5.658777720122202259e-01,6.127093220183743583e-01,6.126740036712663429e-01
1.400000000000000000e+02,5.658777720122158961e-01,6.124881516518074775e-01,6.124526715592406578e-01
1.410000000000000000e+02,5.658777720122122323e-01,6.122684591597656878e-01,6.122328182406638897e-01
1.420000000000000000e+02,5.658777720122092347e-01,6.120502248952052193e-01,6.120144240496525612e-01
1.430000000000000000e+02,5.658777720122064592e-01,6.118334296643962444e-01,6.117974697739342327e-01
1.440000000000000000e+02,5.658777720122042387e-01,6.116180547137138879e-01,6.115819366416356262e-01
1.450000000000000000e+02,5.658777720122021293e-01,6.114040817168567843e-01,6.113678063085000725e-01
1.460000000000000000e+02,5.658777720122004640e-01,6.111914927624840788e-01,6.111550608455204037e-01
1.470000000000000000e+02,5.658777720121990207e-01,6.109802703422496650e-01,6.109436827269708603e-01
1.480000000000000000e+02,5.658777720121976884e-01,6.107703973392247798e-01,6.107336548188269099e-01
1.490000000000000000e+02,5.658777720121966892e-01,6.105618570166920778e-01,6.105249603675562131e-01
1.500000000000000000e+02,5.658777720121958010e-01,6.103546330072998627e-01,6.103175829892699689e-01
1.510000000000000000e+02,5.658777720121949129e-01,6.101487093025624864e-01,6.101115066592209812e-01
1.520000000000000000e+02,5.658777720121942467e-01,6.099440702426973671e-01,6.099067157016361262e-01
1.530000000000000000e+02,5.658777720121935806e-01,6.097407005067831953e-01,6.097031947798730034e-01
1.540000000000000000e+02,5.658777720121930255e-01,6.095385851032318891e-01,6.095009288868878938e-01
1.550000000000000000e+02,5.658777720121926924e-01,6.093377093605610861e-01,6.092999033360052552e-01
1.560000000000000000e+02,5.658777720121922483e-01,6.091380589184572925e-01,6.091001037519782058e-01
1.570000000000000000e+02,5.658777720121919153e-01,6.089396197191212501e-01,6.089015160623296730e-01
1.580000000000000000e+02,5.658777720121915822e-01,6.087423779988828665e-01,6.087041264889654357e-01
1.590000000000000000e+02,5.658777720121914712e-01,6.085463202800797111e-01,6.085079215400482910e-01
1.600000000000000000e+02,5.658777720121911381e-01,6.083514333631878657e-01,6.083128880021263507e-01
1.610000000000000000e+02,5.658777720121910271e-01,6.081577043191970233e-01,6.081190129325052540e-01
1.620000000000000000e+02,5.658777720121906940e-01,6.079651204822237309e-01,6.079262836518565249e-01
1.630000000000000000e+02,5.658777720121906940e-01,6.077736694423497843e-01,6.077346877370549683e-01
1.640000000000000000e+02,5.658777720121905830e-01,6.075833390386845556e-01,6.075442130142360009e-01
1.650000000000000000e+02,5.658777720121904720e-01,6.073941173526374859e-01,6.073548475520665901e-01
1.660000000000000000e+02,5.658777720121903609e-01,6.072059927013997438e-01,6.071665796552215832e-01
1.670000000000000000e+02,5.658777720121903609e-01,6.070189536316218382e-01,6.069793978580604321e-01
1.680000000000000000e+02,5.658777720121902499e-01,6.068329889132870747e-01,6.067932909184956536e-01
1.690000000000000000e+02,5.658777720121902499e-01,6.066480875337677547e-01,6.066082478120472521e-01
1.700000000000000000e+02,5.658777720121902499e-01,6.064642386920646722e-01,6.064242577260782197e-01
1.710000000000000000e+02,5.658777720121901389e-01,6.062814317932186947e-01,6.062413100542030087e-01
1.720000000000000000e+02,5.658777720121901389e-01,6.060996564428905442e-01,6.060593943908648695e-01
1.730000000000000000e+02,5.658777720121900279e-01,6.059189024421051117e-01,6.058785005260761691e-01
1.740000000000000000e+02,5.658777720121900279e-01,6.057391597821514262e-01,6.056986184403162499e-01
1.750000000000000000e+02,5.658777720121900279e-01,6.055604186396359445e-01,6.055197382995808342e-01
1.760000000000000000e+02,5.658777720121900279e-01,6.053826693716829466e-01,6.053418504505800879e-01
1.770000000000000000e+02,5.658777720121900279e-01,6.052059025112777046e-01,6.051649454160784591e-01
1.780000000000000000e+02,5.658777720121900279e-01,6.050301087627476537e-01,6.049890138903726289e-01
1.790000000000000000e+02,5.658777720121900279e-01,6.048552789973763444e-01,6.048140467349033544e-01
1.800000000000000000e+02,5.658777720121900279e-01,6.046814042491480690e-01,6.046400349739964319e-01
1.810000000000000000e+02,5.658777720121900279e-01,6.045084757106161666e-01,6.044669697907281147e-01
1.820000000000000000e+02,5.658777720121900279e-01,6.043364847288933417e-01,6.042948425229132114e-01
1.830000000000000000e+02,5.658777720121900279e-01,6.041654228017586670e-01,6.041236446592086473e-01
1.840000000000000000e+02,5.658777720121900279e-01,6.039952815738779401e-01,6.039533678353313784e-01
1.850000000000000000e+02,5.658777720121900279e-01,6.038260528331346189e-01,6.037840038303864398e-01
1.860000000000000000e+02,5.658777720121900279e-01,6.036577285070667820e-01,6.036155445633011318e-01
1.870000000000000000e+02,5.658777720121900279e-01,6.034903006594062314e-01,6.034479820893614566e-01
1.880000000000000000e+02,5.658777720121900279e-01,6.033237614867189569e-01,6.032813085968499189e-01
1.890000000000000000e+02,5.658777720121900279e-01,6.031581033151410809e-01,6.031155164037791394e-01
1.900000000000000000e+02,5.658777720121900279e-01,6.029933185972091714e-01,6.029505979547183925e-01
1.910000000000000000e+02,5.658777720121899169e-01,6.028293999087795951e-01,6.027865458177125157e-01
1.920000000000000000e+02,5.658777720121900279e-01,6.026663399460384651e-01,6.026233526812871943e-01
1.930000000000000000e+02,5.658777720121898058e-01,6.025041315225944105e-01,6.024610113515400656e-01
1.940000000000000000e+02,5.658777720121900279e-01,6.023427675666539471e-01,6.022995147493139800e-01
1.950000000000000000e+02,5.658777720121898058e-01,6.021822411182786716e-01,6.021388559074508651e-01
1.960000000000000000e+02,5.658777720121898058e-01,6.020225453267171734e-01,6.019790279681225265e-01
1.970000000000000000e+02,5.658777720121899169e-01,6.018636734478147732e-01,6.018200241802360573e-01
1.980000000000000000e+02,5.658777720121900279e-01,6.017056188414934281e-01,6.016618378969136316e-01
1.990000000000000000e+02,5.658777720121899169e-01,6.015483749693036897e-01,6.015044625730402439e-01
2.000000000000000000e+02,5.658777720121900279e-01,6.013919353920454958e-01,6.013478917628833909e-01
2.010000000000000000e+02,5.658777720121899169e-01,6.012362937674531338e-01,6.011921191177752588e-01
2.020000000000000000e+02,5.658777720121900279e-01,6.010814438479462618e-01,6.010371383838616355e-01
2.030000000000000000e+02,5.658777720121899169e-01,6.009273794784435463e-01,6.008829433999131053e-01
2.040000000000000000e+02,5.658777720121899169e-01,6.007740945942340316e-01,6.007295280951948646e-01
2.050000000000000000e+02,5.658777720121898058e-01,6.006215832189105708e-01,6.005768864873975987e-01
2.060000000000000000e+02,5.658777720121899169e-01,6.004698394623577684e-01,6.004250126806230936e-01
2.070000000000000000e+02,5.658777720121898058e-01,6.003188575187955456e-01,6.002739008634260243e-01
2.080000000000000000e+02,5.658777720121899169e-01,6.001686316648769948e-01,6.001235453069095893e-01
2.090000000000000000e+02,5.658777720121900279e-01,6.000191562578364168e-01,5.999739403628722156e-01
2.100000000000000000e+02,5.658777720121899169e-01,5.998704257336893164e-01,5.998250804620043342e-01
2.110000000000000000e+02,5.658777720121898058e-01,5.997224346054804700e-01,5.996769601121355597e-01
2.120000000000000000e+02,5.658777720121899169e-01,5.995751774615791785e-01,5.995295738965277232e-01
2.130000000000000000e+02,5.658777720121898058e-01,5.994286489640212601e-01,5.993829164722140890e-01
